,MAX_SHARPE_NET,SPY
2017-03-31,12691101.689257672,2809139.125682363
2017-04-30,13172720.93606336,2837023.582824947
2017-05-31,13653391.576297574,2877062.2275483026
2017-06-30,13117776.165391222,2895402.7728930074
2017-07-31,13549688.669625849,2954915.979539043
2017-08-31,13657850.252562622,2963537.5412195954
2017-09-30,14188515.807484444,3023250.770591706
2017-10-31,14882477.968160834,3094491.2971920776
2017-11-30,15595902.975691253,3189077.0957656573
2017-12-31,15734845.845610509,3227753.215620023
2018-01-31,16845870.91986326,3409666.399727115
2018-02-28,16750396.385617623,3285690.151698103
2018-03-31,16978249.108478945,3195628.7757018493
2018-04-30,17088919.49680574,3212143.749804416
2018-05-31,18263068.875639636,3290228.2972483197
2018-06-30,18464690.57229625,3309149.365931071
2018-07-31,19235232.272588268,3431742.088784093
2018-08-31,21292944.36830542,3541283.432722651
2018-09-30,21388880.87438787,3562337.7999184253
2018-10-31,20282188.210398447,3316164.508088075
2018-11-30,20773403.711465426,3377677.3182233637
2018-12-31,19386653.908371925,3080277.83198236
2019-01-31,21323891.496111706,3326902.3185274526
2019-02-28,22125045.35257451,3434746.3802280175
2019-03-31,21920630.837042842,3496917.8930620635
2019-04-30,23017273.21383829,3639774.456702818
2019-05-31,21835760.43684237,3407662.013989733
2019-06-30,23495253.500881523,3644787.9161322527
2019-07-31,23709281.811917804,3699896.4643280087
2019-08-31,23883463.416485053,3637947.6379176904
2019-09-30,22570704.156538773,3708734.8905650023
2019-10-31,22100705.510626864,3790714.2672239095
2019-11-30,22850711.6289233,3927932.352397204
2019-12-31,23471629.6323918,4042060.0802149284
2020-01-31,24255103.816905256,4040427.046440925
2020-02-29,22920995.79467343,3720564.093196862
2020-03-31,20038127.614866685,3255972.638055442
2020-04-30,21666609.95463763,3669426.4743385026
2020-05-31,23456765.93723731,3844257.980662454
2020-06-30,24199958.426321488,3912433.2941362197
2020-07-31,26342870.236511003,4142845.3357538376
2020-08-31,27340980.054780643,4432002.513383271
2020-09-30,27768390.415778063,4266053.097300966
2020-10-31,28427193.89793787,4159684.6710338234
2020-11-30,30909482.963244375,4612161.444122491
2020-12-31,31193652.738558874,4783035.328234272
2021-01-31,32678980.11713414,4734294.655307503
2021-02-28,31865358.647442326,4865933.728229199
2021-03-31,30902866.04835417,5086844.066586768
2021-04-30,32763723.27770916,5355990.238807791
2021-05-31,33503165.413204856,5391157.228154917
2021-06-30,34863872.57562711,5512068.263057324
2021-07-31,37103508.709842,5646630.74505242
2021-08-31,37686776.17586371,5814673.954119728
2021-09-30,35407966.60359064,5543678.92318742
2021-10-31,37392634.90415493,5932642.866803883
2021-11-30,38047368.58966345,5884974.24915325
2021-12-31,38785679.74399944,6157141.138800898
2022-01-31,34584864.06020808,5832406.530180605
2022-02-28,34348903.56095692,5660251.003570357
2022-03-31,36219968.90888474,5873022.787308363
2022-04-30,33578600.59592765,5357551.746783697
2022-05-31,34021828.08696947,5369645.012681788
2022-06-30,30422634.514394745,4926862.896168966
2022-07-31,33755760.98268465,5380564.756473883
2022-08-31,34899603.95869478,5161027.131253055
2022-09-30,33591613.867813356,4683910.968262812
2022-10-31,38040703.4337729,5064598.71168314
2022-11-30,39312161.97334511,5346147.54046379
2022-12-31,36864527.67858536,5038058.897960022
2023-01-31,37559997.436365806,5354889.074195222
2023-02-28,35082405.99474854,5220252.155468386
2023-03-31,36480558.84403712,5413808.034530321
2023-04-30,36528508.572897226,5500293.536469366
2023-05-31,34896454.98064761,5525683.531403302
2023-06-30,36851602.77471693,5883747.082698683
2023-07-31,36805376.22553506,6076341.106115272
2023-08-31,36125039.632554516,5977588.513954854
2023-09-30,35867302.13923723,5694044.86393308
2023-10-31,35195466.03315362,5570435.393543149
2023-11-30,37820420.90726046,6079259.525016714
2023-12-31,38345670.03405988,6356810.810209512
2024-01-31,39380977.93036601,6458051.83478746
2024-02-29,41773819.13399723,6795077.652793601
2024-03-31,42759505.29198044,7017289.594337479
2024-04-30,42370511.992876545,6734355.576990187
2024-05-31,42319009.57020452,7074976.813893715
2024-06-30,41909765.483303465,7324583.551956573
2024-07-31,43230018.74756942,7413277.204988044
2024-08-31,46675067.141501054,7586492.727292189
2024-09-30,47757880.7269192,7745843.888500006
2024-10-31,46755281.254285894,7676723.35328743
2024-11-30,51628760.6907385,8134512.580275485
2024-12-31,49424314.06632519,7967782.618129059
